id;il1;in1;in2;cu1;il2;in3;in4;de1;cu2;il3;in5;de2;cu3;in6;il4;cu4;de3;de4;il5;cu5
198;4;1;1;0;4;1;0;2;0;4;2;1;1;1;4;1;1;1;4;1
199;2;1;2;1;2;2;1;1;1;2;0;1;1;1;2;1;3;2;2;1
200;4;0;1;3;4;0;0;2;0;4;0;2;0;0;4;1;2;2;4;0
201;3;2;1;0;3;1;1;2;1;4;1;2;1;1;3;1;2;2;3;1
202;4;1;0;0;4;2;0;0;0;4;0;0;0;1;4;0;2;0;4;0
203;4;1;1;1;4;1;1;2;1;4;0;2;1;1;4;1;2;1;4;1
204;4;1;1;0;4;2;0;2;0;4;0;1;0;0;4;0;2;1;4;0
205;3;2;2;0;2;2;0;3;1;2;1;2;1;2;2;1;3;2;3;1
206;3;2;0;1;3;1;1;3;1;3;1;3;1;1;3;1;3;1;3;1
207;3;2;1;1;4;1;0;2;1;3;1;2;1;2;3;1;2;2;3;2
208;2;2;1;1;2;3;3;1;2;4;1;1;1;0;4;0;2;1;3;1
209;3;1;0;0;3;1;0;1;0;4;1;0;0;0;4;0;1;1;3;0
210;4;3;2;1;3;2;1;4;2;4;2;3;0;1;4;1;2;3;4;1
211;4;1;0;4;4;1;0;2;1;4;1;2;1;1;3;2;2;1;4;1
212;3;0;0;0;2;1;0;3;2;3;0;3;0;0;3;1;3;2;3;0
213;3;1;1;0;3;1;0;2;1;3;3;2;1;1;4;1;2;2;3;1
214;3;2;2;2;4;2;1;3;1;3;2;1;2;2;4;2;2;1;3;1
215;3;0;0;2;3;0;2;2;2;3;1;2;2;2;4;2;1;0;4;1
216;3;1;1;0;3;1;0;1;0;3;1;1;0;1;3;0;1;2;3;0
217;3;0;0;0;3;1;1;2;1;3;3;1;0;2;3;1;2;1;3;1
218;3;0;1;1;4;1;0;2;1;4;3;1;1;1;4;1;2;1;4;1
219;3;1;1;1;4;1;1;0;1;3;1;0;0;1;3;0;0;0;3;0
220;4;0;0;1;4;0;0;2;2;4;3;2;1;1;4;2;3;2;3;1
221;3;1;1;1;4;1;1;1;1;3;2;1;1;1;3;2;1;0;3;2
222;3;1;0;0;3;0;0;2;1;4;1;2;1;0;4;1;1;1;3;1
223;4;0;1;1;4;1;1;2;2;4;1;2;1;1;4;1;1;1;3;1
224;4;0;1;0;4;1;0;0;0;4;1;0;0;0;4;0;1;1;4;0
225;4;3;1;1;4;1;0;1;1;4;0;1;1;1;4;1;1;0;4;1
226;3;1;1;1;3;1;1;2;1;3;1;2;1;2;3;1;3;3;3;1
227;1;1;3;1;2;2;1;2;1;2;1;2;0;3;3;0;2;2;2;0
228;2;1;1;1;3;1;0;2;1;2;2;2;1;2;3;1;2;2;3;1
229;2;1;1;1;3;2;1;2;1;4;2;2;1;2;3;1;2;2;3;1
230;3;1;1;1;3;1;1;0;0;3;2;0;1;1;3;1;0;0;3;1
231;3;0;0;0;3;1;0;1;0;4;0;1;0;1;4;0;0;1;3;0
232;2;1;2;2;1;2;0;4;2;2;0;4;2;2;2;1;4;4;3;2
233;2;2;2;1;4;1;1;3;1;3;2;2;0;2;2;1;3;4;3;1
234;4;1;1;0;4;1;2;3;0;4;0;3;0;0;4;1;3;0;3;1
235;3;0;0;1;3;1;1;2;0;4;2;2;1;0;4;1;2;1;3;1
236;3;0;0;1;2;1;0;2;0;2;1;2;0;0;3;0;3;2;3;1
237;4;2;1;3;3;2;2;2;2;4;3;2;1;3;3;1;3;2;2;2
238;4;0;1;2;4;0;1;0;1;4;2;1;1;3;4;1;1;1;4;1
239;4;1;1;2;3;1;1;2;2;3;2;2;2;1;3;2;1;2;3;2
240;1;1;1;0;4;1;0;1;1;3;0;0;1;0;3;1;1;1;3;0
241;3;0;1;1;4;2;1;2;1;4;3;1;1;1;4;1;1;0;4;1
242;4;3;2;2;4;2;2;2;2;4;1;2;2;3;4;2;2;1;4;2
243;4;2;0;1;4;2;0;1;1;4;1;1;1;0;4;0;1;0;4;1
244;3;2;1;1;2;1;1;3;1;3;1;3;1;1;3;2;2;2;3;1
245;3;2;1;1;4;1;0;3;1;4;0;2;1;1;3;1;1;1;4;1
