id;sex;edad;ec;nh;ne;esp;mp;rol;imf;cue
103;0;53;Divorciado/divorciada;0;Licenciatura;2;0;Educación Secundaria;;Cuerpo de Profesores de Enseñanza Secundaria
104;1;60;Casado/casada;3;Diplomatura;1;0;Jefatura de Estudios;2160;Cuerpo de Maestros
105;1;60;Casado/casada;3;Formación profesional;17;1;Educación Secundaria;3700;Cuerpo de Profesores Técnicos de Formación
106;0;51;Casado/casada;2;Licenciatura;1;0;Educación Primaria;;Cuerpo de Maestros
107;0;37;Casado/casada;2;Diplomatura;1;0;Dirección;3500;Cuerpo de Maestros
108;0;47;Casado/casada;2;Diplomatura;1;0;Educación Primaria;4000;Cuerpo de Maestros
109;0;42;Casado/casada;2;Diplomatura;1;0;Jefatura de Estudios;2900;Cuerpo de Maestros
110;0;36;Casado/casada;1;Licenciatura;18;1;Educación Secundaria;1000;Cuerpo de Profesores de Enseñanza Secundaria
111;0;49;Soltero/soltera;0;Diplomatura;1;0;Educación Infantil;1800;Cuerpo de Maestros
112;0;34;Casado/casada;2;Diplomatura;1;0;Educación Primaria;1700;Cuerpo de Maestros
113;1;48;Casado/casada;2;Licenciatura;9;0;Secretaría;3500;Cuerpo de Profesores de Enseñanza Secundaria
114;0;47;Soltero/soltera;0;Doctorado;14;1;Otro;1500;Otro
115;0;57;Casado/casada;2;Licenciatura;18;0;Educación Secundaria;2300;Cuerpo de Profesores de Enseñanza Secundaria
116;1;42;Soltero/soltera;0;Licenciatura;14;0;Educación Secundaria;2100;Cuerpo de Profesores de Enseñanza Secundaria
117;0;48;Convivencia en pareja;1;Licenciatura;4;1;Otro;;Cuerpo de Profesores de Enseñanza Secundaria
118;1;55;Casado/casada;2;Master;1;0;Educación Secundaria;4500;Cuerpo de Maestros
119;0;36;Casado/casada;1;Licenciatura;4;1;Educación Secundaria;2500;Cuerpo de Profesores de Enseñanza Secundaria
120;1;42;Casado/casada;2;Licenciatura;4;0;Educación Secundaria;2800;Cuerpo de Profesores de Enseñanza Secundaria
121;0;30;Soltero/soltera;0;Master;8;1;Educación Secundaria;;Cuerpo de Profesores de Enseñanza Secundaria
122;0;31;Soltero/soltera;0;Diplomatura;1;0;Educación Primaria;1400;Cuerpo de Maestros
123;1;38;Casado/casada;2;Master;1;0;Educación Primaria;4000;Cuerpo de Maestros
124;1;27;Soltero/soltera;0;Master;1;1;Educación Primaria;1300;Cuerpo de Maestros
125;1;33;Convivencia en pareja;2;Diplomatura;1;0;Educación Primaria;;Cuerpo de Maestros
126;0;28;Casado/casada;1;Grado;1;0;Educación Primaria;2800;Profesores Especialistas
127;0;28;Casado/casada;1;Master;1;0;Otro;2900;Cuerpo de Maestros
128;1;38;Casado/casada;2;Diplomatura;1;0;Dirección;;Cuerpo de Maestros
129;1;54;Divorciado/divorciada;1;Diplomatura;1;0;Dirección;2400;Cuerpo de Maestros
130;0;31;Convivencia en pareja;0;Diplomatura;1;0;Educación Primaria;800;Profesores de Religión (Primaria)
131;1;36;Pareja estable;1;Licenciatura;12;1;Secretaría;2500;Cuerpo de Profesores de Enseñanza Secundaria
132;1;59;Casado/casada;3;Diplomatura;1;0;Dirección;4000;Cuerpo de Maestros
133;0;41;Casado/casada;2;Licenciatura;1;0;Dirección;2300;Cuerpo de Maestros
134;1;42;Soltero/soltera;0;Diplomatura;1;0;Educación Primaria;2000;Cuerpo de Maestros
135;1;39;Convivencia en pareja;2;Licenciatura;1;0;Secretaría;4200;Cuerpo de Maestros
136;1;41;Convivencia en pareja;1;Grado;1;0;Educación Primaria;;Cuerpo de Maestros
137;0;45;Casado/casada;7;Diplomatura;1;0;Educación Primaria;4000;Cuerpo de Maestros
